comments,process_comments,spell_correct_with_emo,spell_correct_without_emo,likes,Related_to_post,punc_number,emoji_number,abusive_word_number,positive_word_number,Bsentiment,label
পাকিস্তানদের মতো আমাদের দেশ থাকত তাইলে হিন্দুদের সাথে ধরষন করতাম ,পাকিস্তানদের মতো আমাদের দেশ থাকত তাইলে হিন্দুদের সাথে ধরষন করতাম ,পাকিস্তানদের মতো আমাদের দেশ থাকত তাইলে হিন্দুদের সাথে ধরষন করতাম,পাকিস্তানদের মতো আমাদের দেশ থাকত তাইলে হিন্দুদের সাথে ধরষন করতাম,0,1,0,0,0,0,Abusive,Bullying
sahmne faile dilam one koy ta dapor,sahmne faile dilam one koy ta dapor,sahmne faile dilam one koy ta dapor,sahmne faile dilam one koy ta dapor,1,1,0,0,0,0,Aggressive,Bullying
নাটকটা এক কথায় অসাধারণ,নাটকটা এক কথায় অসাধারণ,নাটকটা এক কথায় অসাধারণ,নাটকটা এক কথায় অসাধারণ,3,1,0,0,0,0,Supportive,Nonbullying
niom kore shokal bikal thabrano uchit,niom kore shokal bikal thabrano uchit,niom kore shokal bikal thabrano uchit,niom kore shokal bikal thabrano uchit,22,1,0,0,0,0,Aggressive,Bullying
"খুবই কষ্ট হাইলাম , আল্লাহ মিলন ভাইয়েরে ভালা রাহুক",খুবই কষ্ট হাইলাম  আল্লাহ মিলন ভাইয়েরে ভালা রাহুক,খুবই কষ্ট হাইলাম  আল্লাহ মিলন ভাইয়েরে ভালা রাহুক,খুবই কষ্ট হাইলাম  আল্লাহ মিলন ভাইয়েরে ভালা রাহুক,4,1,1,0,0,2,Sad,Nonbullying
ai bal ar deha acher ,ai bal ar deha acher ,ai bal ar deha acher,ai bal ar deha acher,0,1,0,0,1,0,Normal_comment,Neutral
please kew condom chara ore chudbenna,please kew condom chara ore chudbenna,please kew condom chara ore chudbenna,please kew condom chara ore chudbenna,0,1,0,0,3,0,Abusive,Bullying
বিশ্বের ইতিহাসে হিন্দুরা ভিতু  তদের কথাতে মুসলিমরা ভয় পায়না ,বিশ্বের ইতিহাসে হিন্দুরা ভিতু  তদের কথাতে মুসলিমরা ভয় পায়না ,বিশ্বের ইতিহাসে হিন্দুরা ভিতু  তদের কথাতে মুসলিমরা ভয় পায়না,বিশ্বের ইতিহাসে হিন্দুরা ভিতু  তদের কথাতে মুসলিমরা ভয় পায়না,0,1,0,0,0,0,Abusive,Bullying
toder mto kuttar bacchara sonikar mto meyere paile sure ganbang dibi,toder mto kuttar bacchara sonikar mto meyere paile sure ganbang dibi,toder mto kuttar bacchara sonikar mto meyere paile sure ganbang dibi,toder mto kuttar bacchara sonikar mto meyere paile sure ganbang dibi,0,1,0,0,0,1,Abusive,Bullying
রাত্রে খাট প্রাংগনে তর সাথে খেল্লেই হবে,রাত্রে খাট প্রাংগনে তর সাথে খেল্লেই হবে,রাত্রে খাট প্রাংগনে তর সাথে খেল্লেই হবে,রাত্রে খাট প্রাংগনে তর সাথে খেল্লেই হবে,0,1,0,0,0,0,Aggressive,Bullying
মানুষিক রোগি পাবনা  পাটানো দরকার,মানুষিক রোগি পাবনা  পাটানো দরকার,মানুষিক রোগি পাবনা  পাটানো দরকার,মানুষিক রোগি পাবনা  পাটানো দরকার,0,1,0,0,0,0,Aggressive,Bullying
"শালা গান্ডু, এইটা রাকিবের বৌ না যে চাইলি আর নিয়ে আসলি. ",শালা গান্ডু এইটা রাকিবের বৌ না যে চাইলি আর নিয়ে আসলি ,শালা গান্ডু এইটা রাকিবের বৌ না যে চাইলি আর নিয়ে আসলি,শালা গান্ডু এইটা রাকিবের বৌ না যে চাইলি আর নিয়ে আসলি,22,1,2,0,2,0,Aggressive,Bullying
shalar lojja nai,shalar lojja nai,shalar lojja nai,shalar lojja nai,0,1,0,0,2,0,Aggressive,Bullying
মেয়ের জাত নামের কলংক তোরা   তোরা কোন পতিতালয় থাকছঐ মাগি তোরে পাইলে তোর ফিতা আমি কাইটা খাইতাম আর কুত্তা দিয়া চোদাইতাম ,মেয়ের জাত নামের কলংক তোরা   তোরা কোন পতিতালয় থাকছঐ মাগি তোরে পাইলে তোর ফিতা আমি কাইটা খাইতাম আর কুত্তা দিয়া চোদাইতাম ,মেয়ের জাত নামের কলংক তোরা   তোরা কোন পতিতালয় থাকছঐ মাগি তোরে পাইলে তোর ফিতা আমি কাইটা খাইতাম আর কুত্তা দিয়া চোদাইতাম,মেয়ের জাত নামের কলংক তোরা   তোরা কোন পতিতালয় থাকছঐ মাগি তোরে পাইলে তোর ফিতা আমি কাইটা খাইতাম আর কুত্তা দিয়া চোদাইতাম,0,1,0,0,5,0,Abusive,Bullying
তরে আমি শুদু একবার চুদমি মাগি আমার ,তরে আমি শুদু একবার চুদমি মাগি আমার ,তরে আমি শুদু একবার চুদমি মাগি আমার,তরে আমি শুদু একবার চুদমি মাগি আমার,0,1,0,0,2,0,Abusive,Bullying
আমি একজন শিক্ষক কুড়িগ্রাম থেকে বলছি। এমন নেতার  দরকার।,আমি একজন শিক্ষক কুড়িগ্রাম থেকে বলছি। এমন নেতার  দরকার।,আমি একজন শিক্ষক কুড়িগ্রাম থেকে বলছি। এমন নেতার  দরকার।,আমি একজন শিক্ষক কুড়িগ্রাম থেকে বলছি। এমন নেতার  দরকার।,2,1,0,0,0,0,Normal_comment,Neutral
"oke niye vedio bansno chhere niye,,,oke dr dekhao",oke niye vedio bansno chhere niyeoke dr dekhao,oke niye vedio bansno chhere niyeoke dr dekhao,oke niye vedio bansno chhere niyeoke dr dekhao,0,1,3,0,0,0,Supportive,Nonbullying
কোন মুসলিম মেয়ে এ ধরনের ছবি পোষ্ট করার আগে দুবার ভাববে। আর তার স্বামিইবা কোন পরিবারের ছেলে।,কোন মুসলিম মেয়ে এ ধরনের ছবি পোষ্ট করার আগে দুবার ভাববে। আর তার স্বামিইবা কোন পরিবারের ছেলে।,কোন মুসলিম মেয়ে এ ধরনের ছবি পোষ্ট করার আগে দুবার ভাববে। আর তার স্বামিইবা কোন পরিবারের ছেলে।,কোন মুসলিম মেয়ে এ ধরনের ছবি পোষ্ট করার আগে দুবার ভাববে। আর তার স্বামিইবা কোন পরিবারের ছেলে।,60,1,0,0,0,0,Normal_comment,Neutral
e wr weyr e63er,e wr weyr e63er,e wr weyr e63er,e wr weyr e63er,0,1,0,0,0,0,Meaningless,Neutral
কে আছো ওনাকে একটা মিথ্যা নোবেল দে,কে আছো ওনাকে একটা মিথ্যা নোবেল দে,কে আছো ওনাকে একটা মিথ্যা নোবেল দে,কে আছো ওনাকে একটা মিথ্যা নোবেল দে,0,1,0,0,0,0,Aggressive,Bullying
বরের চুদা পাই না তাই এত নাচা নাচি  ,বরের চুদা পাই না তাই এত নাচা নাচি  ,বরের চুদা পাই না তাই এত নাচা নাচি,বরের চুদা পাই না তাই এত নাচা নাচি,0,1,0,0,1,0,Abusive,Bullying
ধুর শালা,ধুর শালা,ধুর শালা,ধুর শালা,0,1,0,0,1,0,Aggressive,Bullying
faltu mohila,faltu mohila,faltu mohila,faltu mohila,1,1,0,0,1,0,Aggressive,Bullying
চোখের পানি অনেক বার আটকাতে চাইলাম তবে পারলাম না আটকাতে,চোখের পানি অনেক বার আটকাতে চাইলাম তবে পারলাম না আটকাতে,চোখের পানি অনেক বার আটকাতে চাইলাম তবে পারলাম না আটকাতে,চোখের পানি অনেক বার আটকাতে চাইলাম তবে পারলাম না আটকাতে,0,1,0,0,0,1,Sad,Nonbullying
ai kittam tor kota huni matha ghurer,ai kittam tor kota huni matha ghurer,ai kittam tor kota huni matha ghurer,ai kittam tor kota huni matha ghurer,0,1,0,0,0,0,Normal_comment,Nonbullying
se gondho newaer jnno malawonra dowre,se gondho newaer jnno malawonra dowre,se gondho newaer jnno malawonra dowre,se gondho newaer jnno malawonra dowre,0,1,0,0,1,0,Abusive,Bullying
so nice boss 👌 👌 😀,so nice boss 👌 👌 😀,so nice boss 👌 👌 😀,so nice boss   ,0,1,0,3,0,1,Supportive,Nonbullying
কত টাকা দিলো,কত টাকা দিলো,কত টাকা দিলো,কত টাকা দিলো,2,1,0,0,0,0,Normal_comment,Neutral
হায়রে বিজ্ঞাপন,হায়রে বিজ্ঞাপন,হায়রে বিজ্ঞাপন,হায়রে বিজ্ঞাপন,5,1,0,0,0,0,Normal_comment,Nonbullying
"keno bhai, hasir patro hon.",keno bhai hasir patro hon,keno bhai hasir patro hon,keno bhai hasir patro hon,0,1,2,0,0,0,Supportive,Nonbullying
onek sundor hasi paiche natok dekhe,onek sundor hasi paiche natok dekhe,onek sundor hasi paiche natok dekhe,onek sundor hasi paiche natok dekhe,4,1,0,0,0,1,Happy,Nonbullying
indian malauner sathe bia korche gorur mut kahy,indian malauner sathe bia korche gorur mut kahy,indian malauner sathe bia korche gorur mut kahy,indian malauner sathe bia korche gorur mut kahy,0,1,0,0,3,0,Abusive,Bullying
মাশরাফির কথা গুলো মন ছোঁয়ে গেছে,মাশরাফির কথা গুলো মন ছোঁয়ে গেছে,মাশরাফির কথা গুলো মন ছোঁয়ে গেছে,মাশরাফির কথা গুলো মন ছোঁয়ে গেছে,21,1,0,0,0,0,Supportive,Nonbullying
Kicchu hobe na tomar ...🙂,kicchu hobe na tomar 🙂,kicchu hobe na tomar 🙂,kicchu hobe na tomar ,0,1,3,1,0,0,Normal_comment,Neutral
asto akta khanki magi,asto akta khanki magi,asto akta khanki magi,asto akta khanki magi,0,1,0,0,1,0,Abusive,Bullying
khub e moja pailam,khub e moja pailam,khub e moja pailam,khub e moja pailam,0,1,0,0,0,1,Happy,Nonbullying
babar 100 borso ujjapon er jonno koti koti tk nosto korte pare kintu bonnai doba osohai manush der jonno 30 lokkho tk diyeca jekhane manus e ace 40 lak,babar 100 borso ujjapon er jonno koti koti tk nosto korte pare kintu bonnai doba osohai manush der jonno 30 lokkho tk diyeca jekhane manus e ace 40 lak,babar 100 borso ujjapon ar jonno koti koti tk nosto korte pare kintu bonnai doba osohai manush der jonno 30 lokkho tk diyeca jekhane manus e ace 40 lak,babar 100 borso ujjapon ar jonno koti koti tk nosto korte pare kintu bonnai doba osohai manush der jonno 30 lokkho tk diyeca jekhane manus e ace 40 lak,0,1,0,0,1,0,Normal_comment,Neutral
hottakarike jonoshomukkhe fashi dewa hok,hottakarike jonoshomukkhe fashi dewa hok,hottakarike jonoshomukkhe fashi dewa hok,hottakarike jonoshomukkhe fashi dewa hok,1,1,0,0,0,0,Aggressive,Bullying
"sbai mja nai,kau take susto korar chasta kore na",sbai mja naikau take susto korar chasta kore na,sbai mja naikau take susto korar chasta kore na,sbai mja naikau take susto korar chasta kore na,0,1,1,0,0,2,Supportive,Nonbullying
hgj  jkhkjk uiiyiu @#@$#@g#b,hgj  jkhkjk uiiyiu gb,hgj  jkhkjk uiiyiu gb,hgj  jkhkjk uiiyiu gb,0,1,7,0,0,0,Meaningless,Neutral
আমার মনে হচ্ছে আপনি মানুষ না  / যদি মানুষ হতেন তাহলে কোনো ধর্ম নিয়ে রঙ তামাশা করতেন না  / নাস্তিক আপনি ,আমার মনে হচ্ছে আপনি মানুষ না   যদি মানুষ হতেন তাহলে কোনো ধর্ম নিয়ে রঙ তামাশা করতেন না   নাস্তিক আপনি ,আমার মনে হচ্ছে আপনি মানুষ না   যদি মানুষ হতেন তাহলে কোনো ধর্ম নিয়ে রঙ তামাশা করতেন না   নাস্তিক আপনি,আমার মনে হচ্ছে আপনি মানুষ না   যদি মানুষ হতেন তাহলে কোনো ধর্ম নিয়ে রঙ তামাশা করতেন না   নাস্তিক আপনি,0,1,2,0,1,0,Normal_comment,Nonbullying
মন থেকে ধন্যবাদ যানাই সত্য কথা গুলো বলার জন্য এমন নেতা চোখে পড়েনা ভাই,মন থেকে ধন্যবাদ যানাই সত্য কথা গুলো বলার জন্য এমন নেতা চোখে পড়েনা ভাই,মন থেকে ধন্যবাদ যানাই সত্য কথা গুলো বলার জন্য এমন নেতা চোখে পড়েনা ভাই,মন থেকে ধন্যবাদ যানাই সত্য কথা গুলো বলার জন্য এমন নেতা চোখে পড়েনা ভাই,1,1,0,0,0,1,Normal_comment,Neutral
কি যে বলি,কি যে বলি,কি যে বলি,কি যে বলি,3,1,0,0,0,0,Normal_comment,Neutral
মানে কম দামে বেশি,মানে কম দামে বেশি,মানে কম দামে বেশি,মানে কম দামে বেশি,2,1,0,0,0,0,Normal_comment,Neutral
আমি হাসতে হাসতে শেষ  💜💜💜💜,আমি হাসতে হাসতে শেষ  💜💜💜💜,আমি হাসতে হাসতে শেষ  💜💜💜💜,আমি হাসতে হাসতে শেষ  ,10,1,0,4,0,2,Happy,Nonbullying
tore paile mui ekkere pachraiia maira halamu,tore paile mui ekkere pachraiia maira halamu,tore paile mui ekkere pachraiia maira halamu,tore paile mui ekkere pachraiia maira halamu,0,1,0,0,2,0,Aggressive,Bullying
সো হট,সো হট,সো হট,সো হট,0,1,0,0,0,0,Abusive,Bullying
অনেক ভালো লেগেছে🥘😀👍,অনেক ভালো লেগেছে🥘😀👍,অনেক ভালো লেগেছে🥘😀👍,অনেক ভালো লেগেছে,0,1,0,3,0,2,Happy,Nonbullying
আহারে জীবন 😢😢,আহারে জীবন 😢😢,আহারে জীবন 😢😢,আহারে জীবন ,1,1,0,2,0,0,Sad,Nonbullying
পালতু কথা,পালতু কথা,পালতু কথা,পালতু কথা,1,1,0,0,0,0,Normal_comment,Nonbullying
দশে মিলে করছে কাজ বাবা হচ্ছেন শরিফুল রাজ😂😂😂😂😂😂,দশে মিলে করছে কাজ বাবা হচ্ছেন শরিফুল রাজ😂😂😂😂😂😂,দশে মিলে করছে কাজ বাবা হচ্ছেন শরিফুল রাজ😂😂😂😂😂😂,দশে মিলে করছে কাজ বাবা হচ্ছেন শরিফুল রাজ,0,1,0,6,0,0,Normal_comment,Neutral
je dhormer kotha bolse dinseshe se o akta biri khasse..sobaike bolcii na tobe odhikangsoi amon,je dhormer kotha bolse dinseshe se o akta biri khassesobaike bolcii na tobe odhikangsoi amon,je dhormer kotha bolse dinseshe se o akta biri khassesobaike bolcii na tobe odhikangsoi amon,je dhormer kotha bolse dinseshe se o akta biri khassesobaike bolcii na tobe odhikangsoi amon,0,1,2,0,0,0,Normal_comment,Neutral
gfgh j th cup ta kont jgjo joss. dibi ni akdi gujk khaitam,gfgh j th cup ta kont jgjo joss dibi ni akdi gujk khaitam,gfgh j th cup ta kont jgjo joss dibi ni akdi gujk khaitam,gfgh j th cup ta kont jgjo joss dibi ni akdi gujk khaitam,0,1,1,0,0,0,Meaningless,Neutral
"i can't stop my laughing 😂  rm ,s   was very funny",i cant stop my laughing 😂  rm s   was very funny,i cant stop my laughing 😂  rm s   was very funny,i cant stop my laughing   rm s   was very funny,10,1,2,1,0,2,Happy,Nonbullying
plz follow me,plz follow me,plz follow me,plz follow me,0,1,0,0,0,0,Supportive,Nonbullying
"নিপুনের সেই ফিগার, মালটা সেই সাইজের ❤️ ",নিপুনের সেই ফিগার মালটা সেই সাইজের ❤️ ,নিপুনের সেই ফিগার মালটা সেই সাইজের ❤️,নিপুনের সেই ফিগার মালটা সেই সাইজের ,9,1,1,1,1,0,Abusive,Bullying
ai bow ta k dekhle monehoy jhata dia di😁😁,ai bow ta k dekhle monehoy jhata dia di😁😁,ai bow ta k dekhle monehoy jhata dia di😁😁,ai bow ta k dekhle monehoy jhata dia di,6,1,0,2,1,0,Aggressive,Bullying
কয়জনের বেবী এটা 😀😀,কয়জনের বেবী এটা 😀😀,কয়জনের বেবী এটা 😀😀,কয়জনের বেবী এটা ,9,1,0,2,0,0,Aggressive,Bullying
খাানকি মাগি একটা শালির ফাঁসি চাই,খাানকি মাগি একটা শালির ফাঁসি চাই,খাানকি মাগি একটা শালির ফাঁসি চাই,খাানকি মাগি একটা শালির ফাঁসি চাই,0,1,0,0,3,0,Abusive,Bullying
tumi khelo khate ora khele mate,tumi khelo khate ora khele mate,tumi khelo khate ora khele mate,tumi khelo khate ora khele mate,3,1,0,0,0,0,Aggressive,Bullying
মাঠে খেলুক আর খাটে খেলুক বাট খেলুক😂😂তামিমা কি দেখাইলো 😂🤨😂🤨,মাঠে খেলুক আর খাটে খেলুক বাট খেলুক😂😂তামিমা কি দেখাইলো 😂🤨😂🤨,মাঠে খেলুক আর খাটে খেলুক বাট খেলুক😂😂তামিমা কি দেখাইলো 😂🤨😂🤨,মাঠে খেলুক আর খাটে খেলুক বাট খেলুকতামিমা কি দেখাইলো ,1,1,0,6,0,0,Aggressive,Bullying
মানুষের কান্না শুনলে নিজেকে সামলিয়ে রাখতে খুব কষ্ট হয় ,মানুষের কান্না শুনলে নিজেকে সামলিয়ে রাখতে খুব কষ্ট হয় ,মানুষের কান্না শুনলে নিজেকে সামলিয়ে রাখতে খুব কষ্ট হয়,মানুষের কান্না শুনলে নিজেকে সামলিয়ে রাখতে খুব কষ্ট হয়,1,1,0,0,0,2,Sad,Nonbullying
hasi ta darun chilo🤣🤣 ,hasi ta darun chilo🤣🤣 ,hasi ta darun chilo🤣🤣,hasi ta darun chilo,0,1,0,2,0,1,Happy,Nonbullying
ছেলেটা নাম বলল গোপাল মানে সে হিন্দু।,ছেলেটা নাম বলল গোপাল মানে সে হিন্দু।,ছেলেটা নাম বলল গোপাল মানে সে হিন্দু।,ছেলেটা নাম বলল গোপাল মানে সে হিন্দু।,1,1,0,0,0,0,Normal_comment,Neutral
(পাকা নাk  ly df vতি)😜😜,পাকা নাk  ly df vতি😜😜,পাকা নাk  ly df vতি😜😜,পাকা নাk  ly df vতি,0,0,2,2,0,0,Meaningless,Nonbullying
dujon  e khub chotolok,dujon  e khub chotolok,dujon  e khub chotolok,dujon  e khub chotolok,0,1,0,0,0,0,Normal_comment,Neutral
duniyar attitude 😏😏😏😏🤨,duniyar attitude 😏😏😏😏🤨,duniyar attitude 😏😏😏😏🤨,duniyar attitude ,0,1,0,5,0,0,Aggressive,Neutral
এটাই হবে বাংলা দেশের হাল,এটাই হবে বাংলা দেশের হাল,এটাই হবে বাংলা দেশের হাল,এটাই হবে বাংলা দেশের হাল,1,1,0,0,0,0,Normal_comment,Neutral
যতবার পর্বটি দেখছি ততবার চোখ দিয়ে জল এসে পড়ছে। জানিনা কেনো । ছোট বেলায় দেখে কষ্ট পেয়েছিলাম। ,যতবার পর্বটি দেখছি ততবার চোখ দিয়ে জল এসে পড়ছে। জানিনা কেনো । ছোট বেলায় দেখে কষ্ট পেয়েছিলাম। ,যতবার পর্বটি দেখছি ততবার চোখ দিয়ে জল এসে পড়ছে। জানিনা কেনো । ছোট বেলায় দেখে কষ্ট পেয়েছিলাম।,যতবার পর্বটি দেখছি ততবার চোখ দিয়ে জল এসে পড়ছে। জানিনা কেনো । ছোট বেলায় দেখে কষ্ট পেয়েছিলাম।,0,1,0,0,0,2,Sad,Nonbullying
movie er scene gulo darun😄😆😆😆😆dev er ta darun👏👏👏😆😆😆😆,movie er scene gulo darun😄😆😆😆😆dev er ta darun👏👏👏😆😆😆😆,movie ar scene gulo darun😄😆😆😆😆dev ar ta darun👏👏👏😆😆😆😆,movie ar scene gulo darundev ar ta darun,0,1,0,12,0,0,Supportive,Nonbullying
খারাপ লাগে না এটা কি আবার জিজ্ঞাসা করতে হয় নাকি খারাপ লাগছে না কিন্যা লাগছে এটাতো ছেলের মুখ দেখেই বোঝা যায় আর নিজের টা বুঝলে অন্যেরটা বুঝা যায় মা বাবা না থাকলে যে কত কষ্ট এই দুনিয়ায় কত অবহেলিত মা বাবার মত আপন কেউ নাই পৃথিবীতে ছেলেকে জিজ্ঞাসা করি আরো কষ্ট দিতে চান পারেন যদি সহযোগিতা করেন দর্শকদের কাছ থেকে সহযোগিতা চান ছেলেকে একজনের কাছে দায়িত্ব দিয়ে দেন যদি পারেন,খারাপ লাগে না এটা কি আবার জিজ্ঞাসা করতে হয় নাকি খারাপ লাগছে না কিন্যা লাগছে এটাতো ছেলের মুখ দেখেই বোঝা যায় আর নিজের টা বুঝলে অন্যেরটা বুঝা যায় মা বাবা না থাকলে যে কত কষ্ট এই দুনিয়ায় কত অবহেলিত মা বাবার মত আপন কেউ নাই পৃথিবীতে ছেলেকে জিজ্ঞাসা করি আরো কষ্ট দিতে চান পারেন যদি সহযোগিতা করেন দর্শকদের কাছ থেকে সহযোগিতা চান ছেলেকে একজনের কাছে দায়িত্ব দিয়ে দেন যদি পারেন,খারাপ লাগে না এটা কি আবার জিজ্ঞাসা করতে হয় নাকি খারাপ লাগছে না কিন্যা লাগছে এটাতো ছেলের মুখ দেখেই বোঝা যায় আর নিজের টা বুঝলে অন্যেরটা বুঝা যায় মা বাবা না থাকলে যে কত কষ্ট এই দুনিয়ায় কত অবহেলিত মা বাবার মত আপন কেউ নাই পৃথিবীতে ছেলেকে জিজ্ঞাসা করি আরো কষ্ট দিতে চান পারেন যদি সহযোগিতা করেন দর্শকদের কাছ থেকে সহযোগিতা চান ছেলেকে একজনের কাছে দায়িত্ব দিয়ে দেন যদি পারেন,খারাপ লাগে না এটা কি আবার জিজ্ঞাসা করতে হয় নাকি খারাপ লাগছে না কিন্যা লাগছে এটাতো ছেলের মুখ দেখেই বোঝা যায় আর নিজের টা বুঝলে অন্যেরটা বুঝা যায় মা বাবা না থাকলে যে কত কষ্ট এই দুনিয়ায় কত অবহেলিত মা বাবার মত আপন কেউ নাই পৃথিবীতে ছেলেকে জিজ্ঞাসা করি আরো কষ্ট দিতে চান পারেন যদি সহযোগিতা করেন দর্শকদের কাছ থেকে সহযোগিতা চান ছেলেকে একজনের কাছে দায়িত্ব দিয়ে দেন যদি পারেন,3,1,0,0,2,2,Normal_comment,Nonbullying
kaka dayস এও রে mama nয়াসে ai,kaka dayস এও রে mama nয়াসে ai,kaka dayস এও রে mama nয়াসে ai,kaka dayস এও রে mama nয়াসে ai,0,0,0,0,0,0,Meaningless,Neutral
"মাথা  খারাপ  হয়ে  গেছে  না হলে এই খবর  করে,,",মাথা  খারাপ  হয়ে  গেছে  না হলে এই খবর  করে,মাথা  খারাপ  হয়ে  গেছে  না হলে এই খবর  করে,মাথা  খারাপ  হয়ে  গেছে  না হলে এই খবর  করে,3,1,2,0,1,0,Normal_comment,Neutral
এ দেশের প্রধানমন্ত্রী বিজন্মার জাত,এ দেশের প্রধানমন্ত্রী বিজন্মার জাত,এ দেশের প্রধানমন্ত্রী বিজন্মার জাত,এ দেশের প্রধানমন্ত্রী বিজন্মার জাত,0,1,0,0,1,0,Aggressive,Bullying
ডিজিটাল দেশ আল্লাহর দেওয়া বন্যা তো আর আটকানো যাবে না।,ডিজিটাল দেশ আল্লাহর দেওয়া বন্যা তো আর আটকানো যাবে না।,ডিজিটাল দেশ আল্লাহর দেওয়া বন্যা তো আর আটকানো যাবে না।,ডিজিটাল দেশ আল্লাহর দেওয়া বন্যা তো আর আটকানো যাবে না।,1,1,0,0,0,0,Normal_comment,Nonbullying
Khub sundor 😌,khub sundor 😌,khub sundor 😌,khub sundor ,0,1,0,1,0,1,Supportive,Nonbullying
তর বুদাদিয়ে মুকদিয়ে আর বগ বগ বের হত না মাগি ,তর বুদাদিয়ে মুকদিয়ে আর বগ বগ বের হত না মাগি ,তর বুদাদিয়ে মুকদিয়ে আর বগ বগ বের হত না মাগি,তর বুদাদিয়ে মুকদিয়ে আর বগ বগ বের হত না মাগি,0,1,0,0,2,0,Abusive,Bullying
আর মানুষ পাইলি না জাফর বালডা রে কল দিছোস ,আর মানুষ পাইলি না জাফর বালডা রে কল দিছোস ,আর মানুষ পাইলি না জাফর বালডা রে কল দিছোস,আর মানুষ পাইলি না জাফর বালডা রে কল দিছোস,0,1,0,0,1,0,Aggressive,Bullying
এই রকম মাগি কত যে আছে ,এই রকম মাগি কত যে আছে ,এই রকম মাগি কত যে আছে,এই রকম মাগি কত যে আছে,0,1,0,0,1,0,Abusive,Bullying
faltu,faltu,faltu,faltu,0,1,0,0,1,0,Aggressive,Bullying
সর্বনাশ পারা😂,সর্বনাশ পারা😂,সর্বনাশ পারা😂,সর্বনাশ পারা,1,1,0,1,0,0,Normal_comment,Neutral
agulare pabnar manoshik hospital a vorti korano uchit,agulare pabnar manoshik hospital a vorti korano uchit,agulare pabnar manoshik hospital a vorti korano uchit,agulare pabnar manoshik hospital a vorti korano uchit,0,1,0,0,0,0,Aggressive,Bullying
প্রিয় vai amader,প্রিয় vai amader,প্রিয় vai amader,প্রিয় vai amader,0,1,0,0,0,1,Supportive,Nonbullying
হিন্দুকে কুতার মুতুন চুদছি ,হিন্দুকে কুতার মুতুন চুদছি ,হিন্দুকে কুতার মুতুন চুদছি,হিন্দুকে কুতার মুতুন চুদছি,0,1,0,0,1,0,Abusive,Bullying
ভালো জিনিস টা নষ্ট করলো পাগল মহিলা,ভালো জিনিস টা নষ্ট করলো পাগল মহিলা,ভালো জিনিস টা নষ্ট করলো পাগল মহিলা,ভালো জিনিস টা নষ্ট করলো পাগল মহিলা,13,1,0,0,2,1,Aggressive,Bullying
আল্লাহ তুমি পরি মনিকে বানর বানিয়ে দাও.যেনও এই মহিলা কে তোমার ভয়ে বাকিরা পর্দা করে...আল্লাহ এসব তুমি কেমনে সহ্য কর? পরি মনির কবরের আযাব তুমি সারা পৃথিবীর সবাইকে দেখিয়ে দিও আল্লাহ পরি মনির থেকে তুমি সকল পুরুষ কে হেফাজত কর,আল্লাহ তুমি পরি মনিকে বানর বানিয়ে দাওযেনও এই মহিলা কে তোমার ভয়ে বাকিরা পর্দা করেআল্লাহ এসব তুমি কেমনে সহ্য কর পরি মনির কবরের আযাব তুমি সারা পৃথিবীর সবাইকে দেখিয়ে দিও আল্লাহ পরি মনির থেকে তুমি সকল পুরুষ কে হেফাজত কর,আল্লাহ তুমি পরি মনিকে বানর বানিয়ে দাওযেনও এই মহিলা কে তোমার ভয়ে বাকিরা পর্দা করেআল্লাহ এসব তুমি কেমনে সহ্য কর পরি মনির কবরের আযাব তুমি সারা পৃথিবীর সবাইকে দেখিয়ে দিও আল্লাহ পরি মনির থেকে তুমি সকল পুরুষ কে হেফাজত কর,আল্লাহ তুমি পরি মনিকে বানর বানিয়ে দাওযেনও এই মহিলা কে তোমার ভয়ে বাকিরা পর্দা করেআল্লাহ এসব তুমি কেমনে সহ্য কর পরি মনির কবরের আযাব তুমি সারা পৃথিবীর সবাইকে দেখিয়ে দিও আল্লাহ পরি মনির থেকে তুমি সকল পুরুষ কে হেফাজত কর,0,1,5,0,0,2,Normal_comment,Neutral
এদের কে চোদ্দ বছরে ফাসি দেয়া হোক,এদের কে চোদ্দ বছরে ফাসি দেয়া হোক,এদের কে চোদ্দ বছরে ফাসি দেয়া হোক,এদের কে চোদ্দ বছরে ফাসি দেয়া হোক,0,1,0,0,0,0,Abusive,Bullying
aibar thik ase to naki,aibar thik ase to naki,aibar thik ase to naki,aibar thik ase to naki,0,1,0,0,0,0,Normal_comment,Neutral
tmr chance r shujog nai tmi tiktok koro,tmr chance r shujog nai tmi tiktok koro,tmr chance r shujog nai tmi tiktok koro,tmr chance r shujog nai tmi tiktok koro,0,1,0,0,0,0,Normal_comment,Neutral
😂😂😂😂😂 fatafati,😂😂😂😂😂 fatafati,😂😂😂😂😂 fatafati, fatafati,0,1,0,5,0,1,Supportive,Nonbullying
choker pani onek bar atkate chailam kintu parlamna atkate,choker pani onek bar atkate chailam kintu parlamna atkate,choker pani onek bar atkate chailam kintu parlamna atkate,choker pani onek bar atkate chailam kintu parlamna atkate,0,1,0,0,0,0,Sad,Nonbullying
টোর ভোদাতে সিল মারবো ,টোর ভোদাতে সিল মারবো ,টোর ভোদাতে সিল মারবো,টোর ভোদাতে সিল মারবো,0,1,0,0,1,0,Abusive,Bullying
