process_comments,spell_correct_with_emo,spell_correct_without_emo,likes,Related_to_post,punc_number,emoji_number,abusive_word_number,positive_word_number,Bsentiment,label
khankimagi akta..salar fasi chai,khankimagi aktasalar fasi chai,khankimagi aktasalar fasi chai,0,1,2,0,2,0,Aggressive,Bullying
dur sala,dur shala,dur shala,0,1,0,0,1,0,Aggressive,Bullying
ranu pagli 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶,ranu pagol 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶,ranu pagol ,0,1,0,16,0,0,Aggressive,Bullying
acting to kichoy pare na.shodo chehara ta ache,acting to kichoy pare nashodo chehara ta ache,acting to kichoy pare nashodo chehara ta ache,0,1,1,0,0,0,Aggressive,Bullying
ar ranu mondol akta mentle.... take nia troll kore lab nai ,ar ranu mondol akta mentle take nia troll kore lab nai,ar ranu mondol akta mentle take nia troll kore lab nai,0,1,4,0,0,0,Aggressive,Bullying
ei sob janowar der janto puriye mara uchit,ei sob janowar der janto puriye mara uchit,ei sob janowar der janto puriye mara uchit,0,1,0,0,2,0,Aggressive,Bullying
porimoni akta nosto mal sali hoga mara,porimoni akta nosto mal sali hoga mara,porimoni akta nosto mal sali hoga mara,0,1,0,0,4,0,Aggressive,Bullying
"you are a bustard , don't know how to do a work properly ",you are a bustard  dont know how to do a work properly,you are a bustard  dont know how to do a work properly,0,1,2,0,4,0,Aggressive,Bullying
bainchodgirir ekta shima thaka ucit,bainchodgirir ekta shima thaka ucit,bainchodgirir ekta shima thaka ucit,0,1,0,0,0,0,Aggressive,Bullying
joto sohoje onner bow k nijer bow bania felecho!,joto sohoje onner bow k nijer bow bania felecho!,joto sohoje onner bow k nijer bow bania felecho!,177,1,1,0,0,0,Aggressive,Bullying
ai jonnoi to onner bow apnar ghore.,ai jonnoi to onner bow apnar ghore,ai jonnoi to onner bow apnar ghore,25,1,1,0,0,0,Aggressive,Bullying
bisshokap ki arek joner bow j jor kore nibe? luchu,bisshokap ki arek joner bow j jor kore nibe luchu,bisshokap ki arek joner bow j jor kore nibe luchu,59,1,1,0,0,0,Aggressive,Bullying
"shala gandu, aita rakiber bow na ze chaili ar nia asli. ",shala gandu aita rakiber bow na ze chaili ar nia asli,shala gandu aita rakiber bow na ze chaili ar nia asli,22,1,2,0,2,0,Aggressive,Bullying
niom kore shokal bikal thabrano uchit,niom kore shokal bikal thabrano uchit,niom kore shokal bikal thabrano uchit,22,1,0,0,0,0,Aggressive,Bullying
tomar kace world cup mane to manuser bou hatiye neua,tomar kace world cup mane to manuser bou hatiye neua,tomar kace world cup mane to manuser bou hatiye neua,33,1,0,0,0,0,Aggressive,Bullying
"world cup   কোনো বিবাহিত মেয়ে না যে, বললা আর জয় করে ফেললা।।",world cup   কোনো বিবাহিত মেয়ে না যে বললা আর জয় করে ফেললা।।,world cup   কোনো বিবাহিত মেয়ে না যে বললা আর জয় করে ফেললা।।,16,1,1,0,6,0,Aggressive,Bullying
banite dorbesh baba,banite dorbesh baba,banite dorbesh baba,9,1,0,0,0,0,Aggressive,Bullying
world cup to tmi niye gaso t ak jon er cup hala lucca,world cup to tmi niye gaso t ak jon ar cup hala lucca,world cup to tmi niye gaso t ak jon ar cup hala lucca,6,1,0,0,1,0,Aggressive,Bullying
অন্যের বউকে পটানোর চেয়ে world  cup জেতা কঠিন ভাই!,অন্যের বউকে পটানোর চেয়ে world  cup জেতা কঠিন ভাই!,অন্যের বউকে পটানোর চেয়ে world  cup জেতা কঠিন ভাই!,5,1,1,0,3,0,Aggressive,Bullying
world cup  and r ek bedar bow nia asa ek nare vai.2umi je gold cup nia ascho oita nia e thako.faizlami kotha bartha r boilo na vai .,world cup  and r ek bedar bow nia asa ek nare vai2umi je gold cup nia ascho oita nia e thakofaizlami kotha bartha r boilo na vai,world cup  and r ek bedar bow nia asa ek nare vai2umi je gold cup nia ascho oita nia e thakofaizlami kotha bartha r boilo na vai,6,1,3,0,3,0,Aggressive,Bullying
hi rakib or hotin,hi rakib or hotin,hi rakib or hotin,7,1,0,0,0,0,Aggressive,Bullying
koto heda e bolba.... tmi to er ek bedar cup niye chole geso.,koto heda e bolba tmi to ar ek bedar cup niye chole geso,koto heda e bolba tmi to ar ek bedar cup niye chole geso,4,1,5,0,1,0,Aggressive,Bullying
tmi sonaa kaowww,tmi sonaa kaowww,tmi sonaa kaowww,4,1,0,0,0,0,Aggressive,Bullying
what a great  prediction of goats.,what a great  prediction of goats,what a great  prediction of goats,2,1,1,0,4,1,Aggressive,Bullying
eta tamima r moto bodna cup na,eta tamima r moto bodna cup na,eta tamima r moto bodna cup na,4,1,0,0,0,0,Aggressive,Bullying
kire batpar porer bou niye moja kortiso,kire batpar porer bou niye moja kortiso,kire batpar porer bou niye moja kortiso,3,1,0,0,1,1,Aggressive,Bullying
"tor nanir howya,, salarpoth toi gooya mara kha",tor nanir howya salarpoth tui gooya mara kha,tor nanir howya salarpoth tui gooya mara kha,3,1,2,0,3,0,Aggressive,Bullying
বউ চুরি করা সহজ  world cop না,বউ চুরি করা সহজ  world cop না,বউ চুরি করা সহজ  world cop না,2,1,0,0,3,0,Abusive,Bullying
"such a joker this guy, shameless",such a joker this guy shameless,such a joker this guy shameless,0,1,1,0,0,0,Aggressive,Bullying
tumi khelo khate ora khele mate,tumi khelo khate ora khele mate,tumi khelo khate ora khele mate,3,1,0,0,0,0,Aggressive,Bullying
hala ana khaiya tal oigese,hala ana khaiya tal oigese,hala ana khaiya tal oigese,3,1,0,0,3,0,Aggressive,Bullying
rongpur ar mofij....,rongpur ar mofij,rongpur ar mofij,2,1,4,0,1,0,Aggressive,Bullying
date expired gaja khaile ja hoy arki,date expired gaja khaile ja hoy arki,date expired gaja khaile ja hoy arki,2,1,0,0,0,0,Aggressive,Bullying
world cup তামিমার মত সস্তা না।,world cup তামিমার মত সস্তা না।,world cup তামিমার মত সস্তা না।,0,1,0,0,1,0,Aggressive,Bullying
"o mona hoi date over ganja kaisa  ,,,aita tamima na ja jor kora nea aslam,,",o mona hoi date over ganja kaisa  aita tamima na ja jor kora nea aslam,o mona hoi date over ganja kaisa  aita tamima na ja jor kora nea aslam,0,1,5,0,4,0,Aggressive,Bullying
ganjar nesha sesh oisena er lagi ota mater,ganjar nesha sesh oisena ar lagi ota mater,ganjar nesha sesh oisena ar lagi ota mater,2,1,0,0,2,0,Aggressive,Bullying
vai world cup to bichanay khele na apner moto,vai world cup to bichanay khele na apner moto,vai world cup to bichanay khele na apner moto,0,1,0,0,0,0,Aggressive,Bullying
ho tumi toh tamima joy korcho,ho tumi toh tamima joy korcho,ho tumi toh tamima joy korcho,2,1,0,0,0,0,Aggressive,Bullying
halay pagl hoice,halay pagol hoice,halay pagol hoice,0,1,0,0,0,0,Aggressive,Bullying
date expaire gaza khaise maybe,date expaire gaza khaise maybe,date expaire gaza khaise maybe,0,1,0,0,1,0,Aggressive,Bullying
mal khor sala,mal khor shala,mal khor shala,0,1,0,0,2,0,Aggressive,Bullying
pagol,pagol,pagol,0,1,0,0,0,0,Aggressive,Bullying
তুমি তো rejected product,তুমি তো rejected product,তুমি তো rejected product,0,1,0,0,0,0,Aggressive,Bullying
lucchar abar interview,lucchar abar interview,lucchar abar interview,0,1,0,0,0,0,Aggressive,Bullying
নাসির তো জয় korse onnor বউ তাই তার kase সব ওইরকম মনে হয় easy,নাসির তো জয় korse onnor বউ তাই তার kase সব ওইরকম মনে হয় easy,নাসির তো জয় korse onnor বউ তাই তার kase সব ওইরকম মনে হয় easy,0,1,0,0,0,0,Aggressive,Bullying
pagla,pagol,pagol,0,1,0,0,0,0,Aggressive,Bullying
halar po aida ki  onner bow baige niya jawa re…,halar po aida ki  onner bow baige niya jawa re…,halar po aida ki  onner bow baige niya jawa re…,0,1,0,0,4,0,Aggressive,Bullying
vai.... ajk gaja besi khaiche,vai ajk gaja besi khaiche,vai ajk gaja besi khaiche,0,1,4,0,0,0,Aggressive,Bullying
toi halar po bolta hoba na toi poro kia nia thak.....,tui halar po bolta hoba na tui poro kia nia thak,tui halar po bolta hoba na tui poro kia nia thak,0,1,5,0,1,0,Aggressive,Bullying
akhon obdi tamima k joy korte parlo na!abar bissokap,akhon obdi tamima k joy korte parlo na!abar bissokap,akhon obdi tamima k joy korte parlo na!abar bissokap,0,1,1,0,0,0,Aggressive,Bullying
bodmais ka bacca,bodmais ka bacca,bodmais ka bacca,0,1,0,0,0,0,Aggressive,Bullying
ai omanostar jonnono comments korata o comments nawoatao bokami,ai omanostar jonnono comments korata o comments nawoatao bokami,ai omanostar jonnono comments korata o comments nawoatao bokami,0,1,0,0,0,0,Aggressive,Bullying
faltu,faltu,faltu,0,1,0,0,1,0,Aggressive,Bullying
kamer fande porechhe nasir.,kamer fande porechhe nasir,kamer fande porechhe nasir,0,1,1,0,0,0,Aggressive,Bullying
shalar lojja nai,shalar lojja nai,shalar lojja nai,0,1,0,0,2,0,Aggressive,Bullying
mar halare 😂,mar halare 😂,mar halare ,0,1,0,1,1,0,Aggressive,Bullying
😂😂😂😂 চেলিব্রিটি,😂😂😂😂 চেলিব্রিটি, চেলিব্রিটি,1,1,0,4,1,0,Aggressive,Bullying
ki nirlojjaar moto hasi,ki nirlojjaar moto hasi,ki nirlojjaar moto hasi,0,1,0,0,0,0,Aggressive,Bullying
magi 😍😍😍,magi 😍😍😍,magi ,0,1,0,3,0,0,Aggressive,Bullying
jader ei rokom bow ache tder khun kore bir purusher porichoy daw,jader ei rokom bow ache tder khun kore bir purusher porichoy daw,jader ei rokom bow ache tder khun kore bir purusher porichoy daw,0,1,0,0,0,0,Aggressive,Bullying
bodmaishhhh lokh ekta nasir,bodmaishhhh lokh ekta nasir,bodmaishhhh lokh ekta nasir,2,1,0,0,0,0,Aggressive,Bullying
apu oto rastar e cele 😁😁😁,apu oto rastar e cele 😁😁😁,apu oto rastar e cele ,0,1,0,3,0,0,Aggressive,Bullying
eee sala re kohon e nibe gatio team e,eee shala re kohon e nibe gatio team e,eee shala re kohon e nibe gatio team e,0,1,0,0,1,0,Aggressive,Bullying
tumi bal kelbay national team oh,tumi bal kelbay national team oh,tumi bal kelbay national team oh,0,1,0,0,1,0,Aggressive,Bullying
noshto noshto,noshto noshto,noshto noshto,1,1,0,0,0,0,Aggressive,Bullying
custom khelbi,custom khelbi,custom khelbi,0,1,0,0,0,0,Aggressive,Bullying
laterbaat🤣🤣🤣,laterbaat🤣🤣🤣,laterbaat,0,1,0,3,0,0,Aggressive,Bullying
faltu mohila,faltu mohila,faltu mohila,1,1,0,0,1,0,Aggressive,Bullying
lovi mal🤣🤣,lovi mal🤣🤣,lovi mal,0,1,0,2,1,0,Aggressive,Bullying
sob pagol🤣😂🤣😂,sob pagol🤣😂🤣😂,sob pagol,0,1,0,4,0,0,Aggressive,Bullying
duniyar attitude 😏😏😏😏🤨,duniyar attitude 😏😏😏😏🤨,duniyar attitude ,0,1,0,5,0,0,Normal_comment,Nonbullying
pagol ranu mondal,pagol ranu mondal,pagol ranu mondal,0,1,0,0,0,0,Aggressive,Bullying
"ranu de sotty faltu.or sathe katha bolai uchit na,ranu k kono kechui dewa uchit na,kathai jane bolte",ranu de sotty faltuor sathe katha bolai uchit naranu k kono kechui dewa uchit nakathai jane bolte,ranu de sotty faltuor sathe katha bolai uchit naranu k kono kechui dewa uchit nakathai jane bolte,0,1,3,0,0,0,Aggressive,Bullying
ekta faltu mohila,ekta faltu mohila,ekta faltu mohila,0,1,0,0,1,0,Aggressive,Bullying
pagol re baba 🤣🤣🤣🤣🤣🤣,pagol re baba 🤣🤣🤣🤣🤣🤣,pagol re baba ,2,1,0,6,0,0,Aggressive,Bullying
pagole  kina bole chagole  kina kore,pagole  kina bole chagole  kina kore,pagole  kina bole chagole  kina kore,0,1,0,0,6,0,Aggressive,Bullying
pagli ta 🤣,pagol ta 🤣,pagol ta ,0,1,0,1,0,0,Aggressive,Bullying
ei pagoler sathe video koro ki kore,ei pagole sathe video koro ki kore,ei pagole sathe video koro ki kore,0,1,0,0,0,0,Aggressive,Bullying
mathai prb thakly ja hoi r ki,mathai prb thakly ja hoi r ki,mathai prb thakly ja hoi r ki,0,1,0,0,0,0,Aggressive,Bullying
pagli ranu,pagol ranu,pagol ranu,0,1,0,0,0,0,Aggressive,Bullying
tarkata mal ranu mondol,tarkata mal ranu mondol,tarkata mal ranu mondol,0,1,0,0,2,0,Aggressive,Bullying
pagli,pagol,pagol,0,1,0,0,0,0,Aggressive,Bullying
basi ohonkar potoner karon just disgusting 😡😡😡😡😡😏😏bar kor aka,basi ohonkar potoner karon just disgusting 😡😡😡😡😡😏😏bar kor aka,basi ohonkar potoner karon just disgusting bar kor aka,1,1,0,7,1,0,Aggressive,Bullying
mathe kheluk ar khate kheluk but kheluk 😂😂 tamima ki dekhailo 😂🤨😂🤨,mathe kheluk ar khate kheluk but kheluk 😂😂 tamima ki dekhailo 😂🤨😂🤨,mathe kheluk ar khate kheluk but kheluk  tamima ki dekhailo ,1,1,0,6,0,0,Aggressive,Bullying
salar lojja nai,salar lojja nai,salar lojja nai,0,1,0,0,1,0,Aggressive,Bullying
oi paglachudi gulor aga tarao 😂😂😂,oi paglachudi gulor aga tarao 😂😂😂,oi paglachudi gulor aga tarao ,6,1,0,3,0,0,Aggressive,Bullying
boudir mukhe keu oskar 6ure mar🤣🤣🤣🤣,boudir mukhe keu oskar 6ure mar🤣🤣🤣🤣,boudir mukhe keu oskar 6ure mar,0,1,0,4,0,0,Aggressive,Bullying
mari halaium hala toree thik kori khel,mari halaium hala toree thik kori khel,mari halaium hala toree thik kori khel,0,1,0,0,2,0,Aggressive,Bullying
ere hoinnir jhi iane tor talukdari ache ni,ere hoinnir jhi iane tor talukdari ache ni,ere hoinnir jhi iane tor talukdari ache ni,0,1,0,0,2,0,Aggressive,Bullying
hotiner ghorer mutin tor murud ar jana ache,hotiner ghorer mutin tor murud ar jana ache,hotiner ghorer mutin tor murud ar jana ache,0,1,0,0,1,0,Aggressive,Bullying
oda jiantun aichot ekkere hiandi voridimu,oda jiantun aichot ekkere hiandi voridimu,oda jiantun aichot ekkere hiandi voridimu,0,1,0,0,2,0,Aggressive,Bullying
halukhet haichoch vadaimmar ghorer vhadaimma,halukhet haichoch vadaimmar ghorer vhadaimma,halukhet haichoch vadaimmar ghorer vhadaimma,0,1,0,0,0,0,Aggressive,Bullying
beliker baccha belik akkel tobiat udi geche ni,beliker baccha belik akkel tobiat udi geche ni,beliker baccha belik akkel tobiat udi geche ni,0,1,0,0,4,0,Aggressive,Bullying
hudir hut hudi ane bek kichu mokt haichot ni,hudir hut hudi ane bek kichu mokt haichot ni,hudir hut hudi ane bek kichu mokt haichot ni,0,1,0,0,2,0,Aggressive,Bullying
magir hut maigga hal dech aijja,magir hut maigga hal dech aijja,magir hut maigga hal dech aijja,0,1,0,0,3,0,Aggressive,Bullying
hangurir hut hanguri voridimu vorvori,hangurir hut hanguri voridimu vorvori,hangurir hut hanguri voridimu vorvori,0,1,0,0,6,0,Aggressive,Bullying
halar hut hala bala thakte thik oi ja,halar hut hala bala thakte thik oi ja,halar hut hala bala thakte thik oi ja,0,1,0,0,2,0,Aggressive,Bullying
are chodoinnar hola hatki baji koroch kila,are chodoinnar hola hatki baji koroch kila,are chodoinnar hola hatki baji koroch kila,0,1,0,0,1,0,Aggressive,Bullying
khankir jhi khanki thik hoi ja ,khankir jhi khanki thik hoi ja,khankir jhi khanki thik hoi ja,0,1,0,0,3,0,Aggressive,Bullying
tor chorer mare chudi vala hoi ja ,tor chorer mare chudi vala hoi ja,tor chorer mare chudi vala hoi ja,0,1,0,0,5,0,Aggressive,Bullying
tui kiar imam aichot tui to hondainna imam,tui kiar imam aichot tui to hondainna imam,tui kiar imam aichot tui to hondainna imam,0,1,0,0,1,0,Aggressive,Bullying
magir hut ki koirchot tor mar shaowar vitor voridimu,magir hut ki koirchot tor mar shaowar vitor voridimu,magir hut ki koirchot tor mar shaowar vitor voridimu,0,1,0,0,5,0,Aggressive,Bullying
filash di hadaihalaium ,filash di hadaihalaium,filash di hadaihalaium,0,1,0,0,1,0,Aggressive,Bullying
tore paile mui ekkere pachraiia maira halamu,tore paile mui ekkere pachraiia maira halamu,tore paile mui ekkere pachraiia maira halamu,0,1,0,0,3,0,Aggressive,Bullying
হালা বান্দিরপো ঠিক করে খেল না খেল্লে তোর খবর আছে,হালা বান্দিরপো ঠিক করে খেল না খেল্লে তোর খবর আছে,হালা বান্দিরপো ঠিক করে খেল না খেল্লে তোর খবর আছে,1,1,0,0,2,0,Aggressive,Bullying
এই গুলারে ধইরা দুনিয়া থেকে বের করে দেওয়া উচিৎ মইরা যা তুই হালা বেকুব ,এই গুলারে ধইরা দুনিয়া থেকে বের করে দেওয়া উচিৎ মইরা যা তুই হালা বেকুব,এই গুলারে ধইরা দুনিয়া থেকে বের করে দেওয়া উচিৎ মইরা যা তুই হালা বেকুব,1,1,0,0,2,0,Aggressive,Bullying
হারামি ঠিক করে খেলিছ ভালা খেলতে না পারলে তোরে পিডামু,হারামি ঠিক করে খেলিছ ভালা খেলতে না পারলে তোরে পিডামু,হারামি ঠিক করে খেলিছ ভালা খেলতে না পারলে তোরে পিডামু,0,1,0,0,1,0,Aggressive,Bullying
এই সব নিউজ না বানাইয়া গিয়া ঘুমাই থাক,এই সব নিউজ না বানাইয়া গিয়া ঘুমাই থাক,এই সব নিউজ না বানাইয়া গিয়া ঘুমাই থাক,0,1,0,0,0,0,Aggressive,Bullying
তোগো এই সব নিউজ দেখলে মনডায় চায় ঝাড়ু দিয়া পিডি,তোগো এই সব নিউজ দেখলে মনডায় চায় ঝাড়ু দিয়া পিডি,তোগো এই সব নিউজ দেখলে মনডায় চায় ঝাড়ু দিয়া পিডি,1,1,0,0,1,0,Aggressive,Bullying
হাগল ছাগল,হাগল ছাগল,হাগল ছাগল,0,1,0,0,2,0,Aggressive,Bullying
বোকচোদ মহিলা তর এইটা করা ঠিক না,বোকচোদ মহিলা তর এইটা করা ঠিক না,বোকচোদ মহিলা তর এইটা করা ঠিক না,0,1,0,0,2,0,Aggressive,Bullying
😆😆😆😆😆😆.. একদম. ঠিক.. শালা.. আমারও .,😆😆😆😆😆😆 একদম ঠিক শালা আমারও, একদম ঠিক শালা আমারও,0,1,8,6,1,0,Aggressive,Bullying
"ঠিক করছে কোয়েল, রানুর মুখে সবাই মিলে জুতো মারা দরকার",ঠিক করছে কোয়েল রানুর মুখে সবাই মিলে জুতো মারা দরকার,ঠিক করছে কোয়েল রানুর মুখে সবাই মিলে জুতো মারা দরকার,0,1,1,0,0,0,Aggressive,Bullying
চুদির ভাই এলাকা দেখতে আসছিস তো রাতে তো jigges korchis kno,চুদির ভাই এলাকা দেখতে আসছিস তো রাতে তো jigges korchis kno,চুদির ভাই এলাকা দেখতে আসছিস তো রাতে তো jigges korchis kno,0,1,0,0,1,0,Aggressive,Bullying
ধুর শালা,ধুর শালা,ধুর শালা,0,1,0,0,1,0,Aggressive,Bullying
রানু পাগলি 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶,রানু পাগলি 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶,রানু পাগলি ,0,1,0,16,0,0,Aggressive,Bullying
"acting তো কিছু পারেনা, শুধু চেহারাটা আছে",acting তো কিছু পারেনা শুধু চেহারাটা আছে,acting তো কিছু পারেনা শুধু চেহারাটা আছে,0,1,1,0,0,0,Aggressive,Bullying
ক্যামেরা করতে শিখ বোকচোদ এরপর চুলকাইতে যাবি,ক্যামেরা করতে শিখ বোকচোদ এরপর চুলকাইতে যাবি,ক্যামেরা করতে শিখ বোকচোদ এরপর চুলকাইতে যাবি,0,0,0,0,2,0,Aggressive,Bullying
আর এ রানু মণ্ডল একটা মেন্টাল .… take nia troll kore lab nai ,আর এ রানু মণ্ডল একটা মেন্টাল … take nia troll kore lab nai,আর এ রানু মণ্ডল একটা মেন্টাল … take nia troll kore lab nai,0,1,1,0,1,0,Aggressive,Bullying
লাস্ট এর বাড়িতে চুদতে ঢুকলি কেনরে লাওড়া last ar barite chudte dhukli kno be lewra,লাস্ট এর বাড়িতে চুদতে ঢুকলি কেনরে লাওড়া last ar barite chudte dhukli kno be lewra,লাস্ট এর বাড়িতে চুদতে ঢুকলি কেনরে লাওড়া last ar barite chudte dhukli kno be lewra,0,1,0,0,4,0,Aggressive,Bullying
এই সব জানোয়ারদের জ্যান্ত পুড়িয়ে মারা উচিৎ,এই সব জানোয়ারদের জ্যান্ত পুড়িয়ে মারা উচিৎ,এই সব জানোয়ারদের জ্যান্ত পুড়িয়ে মারা উচিৎ,0,1,0,0,0,0,Aggressive,Bullying
এনাম ভাই এর নিছে আছে দুয়া বিছে 😂😂😂😂,এনাম ভাই এর নিছে আছে দুয়া বিছে 😂😂😂😂,এনাম ভাই এর নিছে আছে দুয়া বিছে ,1,1,0,4,1,0,Aggressive,Bullying
"you are a bustard , তুই জানিস না কিভাবে কাজ করতে হয় ",you are a bustard  তুই জানিস না কিভাবে কাজ করতে হয়,you are a bustard  তুই জানিস না কিভাবে কাজ করতে হয়,0,1,1,0,4,0,Aggressive,Bullying
বাইনচোদ গিরির একটা সীমা থাকা উচিত,বাইনচোদ গিরির একটা সীমা থাকা উচিত,বাইনচোদ গিরির একটা সীমা থাকা উচিত,0,1,0,0,1,0,Aggressive,Bullying
এইটা কি তামিমা আপুর মত পেয়েছেন নাকি??,এইটা কি তামিমা আপুর মত পেয়েছেন নাকি,এইটা কি তামিমা আপুর মত পেয়েছেন নাকি,100,1,2,0,0,0,Aggressive,Bullying
যত সহজে অন্যের বৌ কে নিজের বৌ বানায় ফেলছো !,যত সহজে অন্যের বৌ কে নিজের বৌ বানায় ফেলছো !,যত সহজে অন্যের বৌ কে নিজের বৌ বানায় ফেলছো !,177,1,1,0,0,0,Aggressive,Bullying
এই জন্যই তো অন্যের বৌ আপনার ঘরে,এই জন্যই তো অন্যের বৌ আপনার ঘরে,এই জন্যই তো অন্যের বৌ আপনার ঘরে,25,1,0,0,0,0,Aggressive,Bullying
বিশ্বকাপ কি আরেক জনের বউ যে জোর করে নিবা ? লুচু,বিশ্বকাপ কি আরেক জনের বউ যে জোর করে নিবা  লুচু,বিশ্বকাপ কি আরেক জনের বউ যে জোর করে নিবা  লুচু,59,1,1,0,4,0,Aggressive,Bullying
"শালা গান্ডু, এইটা রাকিবের বৌ না যে চাইলি আর নিয়ে আসলি. ",শালা গান্ডু এইটা রাকিবের বৌ না যে চাইলি আর নিয়ে আসলি,শালা গান্ডু এইটা রাকিবের বৌ না যে চাইলি আর নিয়ে আসলি,22,1,2,0,2,0,Aggressive,Bullying
নিয়ম করে সকাল বিকালে থাবড়ানো উচিৎ,নিয়ম করে সকাল বিকালে থাবড়ানো উচিৎ,নিয়ম করে সকাল বিকালে থাবড়ানো উচিৎ,22,1,0,0,1,0,Aggressive,Bullying
তোমার কাছে ওয়ার্ল্ড কাপ মানেতো আরেক জনের বউ হাতিয়ে নেয়া,তোমার কাছে ওয়ার্ল্ড কাপ মানেতো আরেক জনের বউ হাতিয়ে নেয়া,তোমার কাছে ওয়ার্ল্ড কাপ মানেতো আরেক জনের বউ হাতিয়ে নেয়া,33,1,0,0,0,0,Aggressive,Bullying
বানিতে দরবেশ বাবা,বানিতে দরবেশ বাবা,বানিতে দরবেশ বাবা,9,1,0,0,0,0,Aggressive,Bullying
ওয়ার্ল্ড কাপ তো তুমি নিয়ে গেছো তা একজনের বৌ চুপ হালা লুচ্চা,ওয়ার্ল্ড কাপ তো তুমি নিয়ে গেছো তা একজনের বৌ চুপ হালা লুচ্চা,ওয়ার্ল্ড কাপ তো তুমি নিয়ে গেছো তা একজনের বৌ চুপ হালা লুচ্চা,6,1,0,0,1,0,Aggressive,Bullying
হাই রাকিবের হতিন,হাই রাকিবের হতিন,হাই রাকিবের হতিন,7,1,0,0,0,0,Aggressive,Bullying
কত হেডা ই বলবা .… tmi to er ek bedar cup niye chole geso.,কত হেডা ই বলবা … tmi to ar ek bedar cup niye chole geso,কত হেডা ই বলবা … tmi to ar ek bedar cup niye chole geso,4,1,2,0,1,0,Aggressive,Bullying
তুমি সোনা কও,তুমি সোনা কও,তুমি সোনা কও,4,1,0,0,1,0,Aggressive,Bullying
এটা তামিমার মত বদনা কাপনা,এটা তামিমার মত বদনা কাপনা,এটা তামিমার মত বদনা কাপনা,4,1,0,0,1,0,Aggressive,Bullying
কিরে বাটপার পরের বৌ নিয়ে মজা করতেছিস,কিরে বাটপার পরের বৌ নিয়ে মজা করতেছিস,কিরে বাটপার পরের বৌ নিয়ে মজা করতেছিস,3,1,0,0,2,1,Aggressive,Bullying
হালা এনা খাই তাল অই গেছের,হালা এনা খাই তাল অই গেছের,হালা এনা খাই তাল অই গেছের,3,1,0,0,2,0,Aggressive,Bullying
রংপুরের মফিজ....,রংপুরের মফিজ,রংপুরের মফিজ,2,1,4,0,1,0,Aggressive,Bullying
date expired গাজা খাইলে যে হয় আর কি,date expired গাজা খাইলে যে হয় আর কি,date expired গাজা খাইলে যে হয় আর কি,2,1,0,0,1,0,Aggressive,Bullying
গাঞ্জার নেশা শেষ হইছেনা এর লাই এতো মাতের ,গাঞ্জার নেশা শেষ হইছেনা এর লাই এতো মাতের,গাঞ্জার নেশা শেষ হইছেনা এর লাই এতো মাতের,2,1,0,0,3,0,Aggressive,Bullying
ভাই ওয়ার্ল্ড কাপ তো আপনার মত বিছানায় খেলেনা এত,ভাই ওয়ার্ল্ড কাপ তো আপনার মত বিছানায় খেলেনা এত,ভাই ওয়ার্ল্ড কাপ তো আপনার মত বিছানায় খেলেনা এত,0,1,0,0,0,0,Aggressive,Bullying
হ তুমি ত তামিমা জয় করছ,হ তুমি ত তামিমা জয় করছ,হ তুমি ত তামিমা জয় করছ,2,1,0,0,0,0,Aggressive,Bullying
হালায় পাগল হইছে,হালায় পাগল হইছে,হালায় পাগল হইছে,0,1,0,0,3,0,Aggressive,Bullying
মাল খোর শালা,মাল খোর শালা,মাল খোর শালা,0,1,0,0,2,0,Aggressive,Bullying
ও আমার বাল বুঝে …. ,ও আমার বাল বুঝে …,ও আমার বাল বুঝে …,0,1,1,0,1,0,Aggressive,Bullying
 হালারপো এইডা কি আরেক বেডার বৌ ভাগায় নি যাওন নি,হালারপো এইডা কি আরেক বেডার বৌ ভাগায় নি যাওন নি,হালারপো এইডা কি আরেক বেডার বৌ ভাগায় নি যাওন নি,0,1,0,0,0,0,Aggressive,Bullying
 ভাই.... আজকে গাজা বেশি খাইছে,ভাই আজকে গাজা বেশি খাইছে,ভাই আজকে গাজা বেশি খাইছে,0,1,4,0,1,0,Aggressive,Bullying
তুই হালারপো বলতে হবেনা তুই পরকীয়া নিয়া থাক.....,তুই হালারপো বলতে হবেনা তুই পরকীয়া নিয়া থাক,তুই হালারপো বলতে হবেনা তুই পরকীয়া নিয়া থাক,0,1,5,0,0,0,Aggressive,Bullying
বদমাইশ কা বাচ্চা,বদমাইশ কা বাচ্চা,বদমাইশ কা বাচ্চা,0,1,0,0,1,0,Aggressive,Bullying
কামের ফান্দে পড়ছে নাসির,কামের ফান্দে পড়ছে নাসির,কামের ফান্দে পড়ছে নাসির,0,1,0,0,1,0,Aggressive,Bullying
শালার লজ্জা নাই,শালার লজ্জা নাই,শালার লজ্জা নাই,0,1,0,0,0,0,Aggressive,Bullying
মার হালারে 😂,মার হালারে 😂,মার হালারে ,0,1,0,1,1,0,Aggressive,Bullying
কি নিলজ্জের মত হাসি,কি নিলজ্জের মত হাসি,কি নিলজ্জের মত হাসি,0,1,0,0,1,1,Aggressive,Bullying
