comments,likes,Related_to_post,Bsentiment,label
মাথা খারাপ হয়ে গেছে।,6,1,Aggressive,Bullying
মেন্টাল হয়ে গেছে নেত্রী,3,1,Aggressive,Bullying
এনার মাথায় প্রব্লেম আছে! দিন পাল্টাবে এটাই শেষ দিন না।,1,1,Aggressive,Bullying
তোর ডিজিটাল কৈ গেল হাসিনা এবার বল আমার বাসায় হারিকেন জলে,1,1,Aggressive,Bullying
এ দেশের প্রধানমন্ত্রী বিজন্মার জাত,0,1,Aggressive,Bullying
sahmne faile dilam one koy ta dapor,1,1,Aggressive,Bullying
মানুষিক রোগি পাবনা  পাটানো দরকার,0,1,Aggressive,Bullying
"akta pocha maye ,i hate bangladesh 😒😶",1,1,Aggressive,Bullying
ওনি হচ্ছে বাংলার হুজুরনি বক্তা😠😡,0,1,Aggressive,Bullying
ey noshta nirlozzo behaya mohilat kobe morbe hey asha kori,0,1,Aggressive,Bullying
এই মহিলা নেমোখারাপ।,0,1,Aggressive,Bullying
কাজের কথা না বলে যত সব ফালতু কথা এসব বোকাচোদা,0,1,Aggressive,Bullying
পাগল  এ কি বলে,0,1,Aggressive,Bullying
aber hashi dey. fazil,1,1,Aggressive,Bullying
tur teknik akhon sovai buje..,0,1,Aggressive,Bullying
hasina re juta pita kor,0,1,Aggressive,Bullying
"মাথায় সমস্যা,, আছে",0,1,Aggressive,Bullying
lojja thaka dorkar,1,1,Aggressive,Bullying
sehek hasina noty,0,1,Aggressive,Bullying
namrud ka poida,0,1,Aggressive,Bullying
hozzot sexhasina ki bura hoise. naki school e,0,1,Aggressive,Bullying
a  jonno  apony  .sarge  gesen .,0,1,Aggressive,Bullying
boloder kella er version nki,0,1,Aggressive,Bullying
😡😡 😡 khankirbaccha,0,1,Aggressive,Bullying
একদিন বুঝতে পারবেন মাননীয় প্রধানমন্ত্রী কতো ধানে কতো চাল,1,1,Aggressive,Bullying
টিকা জনগনের টাকা দিয়ে আপনার বাপের টাকায় না৷,8,1,Aggressive,Bullying
তোর কথা গুলো শুনলে গায়ে আগুন জ্বলে,12,1,Aggressive,Bullying
suoror baicci re fashi deu,3,1,Aggressive,Bullying
পরীমনির পোশাক দেখে মনে হচ্ছে আজ তার মুসলমানি।,221,1,Aggressive,Bullying
খানকির পোলার জন্ম পতিতালয়ে   জাত খানকির বাচ্চা তো   সারাদিন পুটকি মারা খায়  ,3,1,Aggressive,Bullying
মাইরে চুদি খানকির পোলা বাংলাদেশের নিউজ পেপারে খারাপ কথা গরুর তেল দিয়া রোদ্রে শুকায়া তেল দিয়া বাইজা খাবো,2,1,Aggressive,Bullying
 মাগি কি হচেছ বাংলাদেশে তোর কি চোখ অনধ হয়ে গেছে তুই দেখতে পাস না তুই খালি বি এন পি নিয়ে আছিস কারন টা কি তোর আংলিগের রাজাকারদের ধরিস না কেন নাঔগুলো পুসে রাখতেছ ইলেকসনে কাজ দেবে তাই না ,1,1,Aggressive,Bullying
ঐ খানকির পোলারা বার্মাকে কিছু কইতে পারচ না ,2,1,Aggressive,Bullying
খানকির তো ঘড় করা সম্ভব না,0,1,Aggressive,Bullying
আরে এইখানে মালাউনের বাচ্চা আছে ভারতের দালালদের বলছি তরা খানকি পোলা,0,1,Aggressive,Bullying
খানকির ছেলেকে লাথি মেরে বের করে দাও ,0,1,Aggressive,Bullying
খানকির বাচ্চাকে ধরে কোপানো হোক,0,1,Aggressive,Bullying
গোতম মাদারচুদ বলেকি  সালে বাল ফালাতে এসেছিল রেন্ডিয়া  খানকির পোলারা আমগো সব চুরিকরে ভারত নিয়ে গেছে ,0,1,Aggressive,Bullying
এই শালির ঘরের শালি  আমি তুর খালু ,0,1,Aggressive,Bullying
খানকির বচ্চা আমরা তো সারা ওয়ার্ল্ড জুড়ে আছি তাই আমাদের দেখিস  আর তোরা তো শুধু রেন্ডিয়াতে পড়ে আছিস  তোরা সারা ওয়ার্ল্ড এ থাকলে আরো আগে পৃথিবীটা ধ্বংস হতরে সালা মালাউনের জাত,0,1,Aggressive,Bullying
মালু খানকির পোলাদের জবাই করা উচিত ,0,1,Aggressive,Bullying
খানকির পুত সাংঘাতিক রা কোনটা জিহাদ কোনটা জঙ্গি তোরা বোঝোস বান্দির পুতেরা,0,1,Aggressive,Bullying
এরকম নারী কে জুতা মার ,0,1,Aggressive,Bullying
মেয়েরা বেকুবই হয় নতুন কিছু না হা হা হা,0,1,Aggressive,Bullying
meyera bekub e hoy notun kichuna ha ha ha ,0,1,Aggressive,Bullying
ai bow ta k dekhle monehoy jhata dia di😁😁,6,1,Aggressive,Bullying
ঐ বৌ টাকে দেখলে  মনে হয়  ঝটা দিয়ে দি 😁😁,6,1,Aggressive,Bullying
aie baldar jnno natok ar moja nosto hoiya gaca,2,1,Aggressive,Bullying
r naika pailona faul director a wtf,1,1,Aggressive,Bullying
"শাওন টাকার জন্য বুইরা লোকটারে বিয়া করছে, ",0,1,Aggressive,Bullying
ram bejonma krishna bejonma,0,1,Abusive,Bullying
রাম বেজন্মা কৃষ্ণা বেজন্মা ,0,1,Abusive,Bullying
সালা পাগল হিন্দু রা বাংলাদেশে যেভাবে শান্তিতে থাকে ভারতেও এভাবে থাকে না,0,1,Abusive,Bullying
সে গন্ধ নেওয়ার জন্য মালাউনরা দৌরে,0,1,Abusive,Bullying
তারিফ হাসান রেন্ডিয়াতে কি তুরে মাকে ভাডা দেচ  মালাউনের বাচ্চা মুস্লিমদের প্রতি দরদ নাই শালা মুনাফেক মাদারিচুদ,0,1,Abusive,Bullying
 ইন্ডিয়ায় মালাউনরা কুওার সাথে বিবাহ করছে গরুর মূত খায় ,0,1,Abusive,Bullying
 চুরের মার বড় গলা শালা মালাউনের বাচ্চা প্রতিটা খেলায় তুরা চুরি করছ আবার পাকনামি চুদাছ তুদের লজ্জা বলতে আছে কিছুরে   ,0,1,Abusive,Bullying
তুই মরলে কুততা দ্বারা কবর দেয়াইস  ,0,1,Abusive,Bullying
 মালাউনেরা বাংলাদেশে এতো ঘন ঘন কেনো আসে   ,0,1,Abusive,Bullying
মালাউন দের উপর বদলা নিতে হবে,0,1,Abusive,Bullying
মুসলমানদের বসতে দিলে শুতে চায় ,0,1,Abusive,Bullying
ভারতে একটি মুসলমানকে থাকতে দেওয়া হবে না  ,0,1,Abusive,Bullying
মালাউনের বাচ্চা এর মানে কি খুব খারাপ,0,1,Abusive,Bullying
খব ভাল ভারত ও ধ্বংশ হয়ে যাক এর সাথে ,0,1,Abusive,Bullying
 এমন মায়া কান্না করিস না সালা   মালাউন ,0,1,Abusive,Bullying
ওরে ভাই মালাউন নাপাকের গোষ্ঠী গালি দিচ্ছে ওর দর মুতি খাওয়াতে হবে,0,1,Abusive,Bullying
বাংলাদেশের মুসলিম লোকেরা মানুষ না সব কুকুর   ,0,1,Abusive,Bullying
তুই সালা কাফের তাতে কোন সন্দেহ নাই ,0,1,Abusive,Bullying
মালুগো চুদা মুদির জারজ সন্তান তোর দিদিরে কিন্তু চুইদ্দা মাইরা পালামু খানকির পোলা,0,1,Abusive,Bullying
ভন্ড কাদিয়ানী থেকে সাবধান,0,1,Abusive,Bullying
 মাইরা মালাউনগরে বর্বর জাতিদেরকে গাধার বাচ্চার থেকেও অধমদেরকে ,0,1,Abusive,Bullying
চুতমারানি তোরে চুদী  কুত্তা দিয়া চোদামু ,0,1,Abusive,Bullying
পাকিস্তানদের মতো আমাদের দেশ থাকত তাইলে হিন্দুদের সাথে ধরষন করতাম ,0,1,Abusive,Bullying
যদি পৃথিবী ধ্বংস হয় তবে তার কারণ হবে মুসলিম   ,0,1,Abusive,Bullying
 যে শালা মালাউন বলেছে ও বোনেরে চুদি তোমাদের মুখে দারি মাথায় ঠুপি রেখে ভন্ডামী কর তোমরা জংগী  ,0,1,Abusive,Bullying
মালাউনরা তো সানি লিওনের বাচ্চা,0,1,Abusive,Bullying
মোল্লাদের বুদ্ধিমত্তা গরুর চেয়ে একটু বেশী ,0,1,Abusive,Bullying
শিব একটা ধর্ষক ছিল  সে ৬০ হাজার কুমারী মেয়েকে ধর্ষণ করেছিল  তাই শিব লিঙ্গ ধর্ষণের প্রতীক ,0,1,Abusive,Bullying
ঢাকাৰ মাল চুদাছো শেমজা ,0,1,Abusive,Bullying
পৃথিবীর সবথেকে মিথ্যাবাদী ধর্ম হিন্দু ,0,1,Abusive,Bullying
মুর্তিপুজারী মাজারপুজারী ভন্ড পীরদের পোদ ফেটে গেছে  ,0,1,Abusive,Bullying
 এখনও মালাউন আসে নি দেখলে ই মাথা নষ্ট হয়ে যাবে ,0,1,Abusive,Bullying
হিন্দুদের মালাউন বলার সাথে সাথে দেশের থেকে সরকার সবাই প্রতিবাদ মুখর ,0,1,Abusive,Bullying
আবাল মার্কা হুজুর ,0,1,Abusive,Bullying
ব্যশ্যাস্যালয়ের মাটি ছাড়া দূর্গা মূর্তি গড়া হবেই না,0,1,Abusive,Bullying
অবৈধ মুসলমানদের লাথ মেরে তাঁড়ানো হোক,0,1,Abusive,Bullying
মুসলিমদের মাথা আর গরুর মাথার মধ্যে খুব একটা পার্থক্য নেই,0,1,Abusive,Bullying
 ঠাকুরদা উপরে বসে আছে মুসলিমদের দরদ কি করে বুঝবে মালাউন ,0,1,Abusive,Bullying
আসামের রোহিঙ্গা মুসলমানদের তারিয়ে দেওয়া হোক কারণ এরা ভারতের মানুষ নয় ,0,1,Abusive,Bullying
বিশ্বের ইতিহাসে হিন্দুরা ভিতু  তদের কথাতে মুসলিমরা ভয় পায়না ,0,1,Abusive,Bullying
কুলাঙ্গার মহিলা,0,1,Abusive,Bullying
ইহুদীরা আসলেই খুব বিপজ্জনক ,0,1,Abusive,Bullying
শালা মূর্তি পূজারী  শিবের ধনেরর পূজারি,0,1,Abusive,Bullying
 সাব্বাস পাকিস্তান মালাউনদের দংস করে দিতে হবে ,0,1,Abusive,Bullying
পাকিস্তানের বাল ও ছিরতে পারবনা মালাউনরা ,0,1,Abusive,Bullying
দুর কুত্তার বাচ্চা নাস্তিকের ঘরের নাস্তিক ,0,1,Abusive,Bullying
হিন্দু ধর্মই একমাত্র চোদাচুদির ধর্ম  ,0,1,Abusive,Bullying
তুই তো এক নাফর্মান শয়তানের ভাই ,0,1,Abusive,Bullying
 মালাউন মাদারচোদ  পাকিস্তান জিন্দাবাদ ,0,1,Abusive,Bullying
এই মালাউন এর বাচ্চায় এম্নেই মরবো,0,1,Abusive,Bullying
মুসলিম নামের নাস্তিকরা এখন দেখিস না তোর হিন্দু বাপেরা মুসলিমদের প্রকাশ্যে ধর্ষন করলো,0,1,Abusive,Bullying
আল্লাহ এই হুজুরকে হেদায়েত দেন ছাগল হুজুর   ,0,1,Abusive,Bullying
নাস্তিকের গুষ্টি  জাহান্নামের দরজা দিয়ে তোমরা প্রবেশ করবা,0,1,Abusive,Bullying
মুসলমানরা গুজবে বিশ্বাস করে  বাস্তবে নয়  মানে  মাথায় ব্রেন নামক পদার্থটার অভাব ,0,1,Abusive,Bullying
জদ্দাখোর সাইফল্লাহ কিসের আলেম  ,0,1,Abusive,Bullying
 জুতা মারুন এই মালাউনের বাচ্চাকে ,0,1,Abusive,Bullying
নাস্তিক ওরা হলো দুনিয়ার ময়লা  আবর্জনা আর নর্দমারকীট ভন্ড এক নাম্বার মিথ্যাবাদী ,0,1,Abusive,Bullying
বিশ্রী সাম্প্রদায়িক জঙ্গি মানসিকতা এই মুসলমানদের ,0,1,Abusive,Bullying
তোরা তো সব কয়টা হিজরা তোদের হুরের কথা শুনলেও তো ভয় করে  ,0,1,Abusive,Bullying
হিন্দুর বাচ্চারা আসলে একেকটা খবিস ,0,1,Abusive,Bullying
মুসলিম রা মালাউন না মালাউন তরা  ,0,1,Abusive,Bullying
গল্পের রাম-কৃষ্ণের সাথে কি বাস্তবের নরপিশাচ মুহম্মদের তুলনা হয় ,0,1,Abusive,Bullying
তোর হিন্দু বন্ধুদের বান্ধবীদের নিয়া বৃন্দাবনে গিয়া লিলা করগা,0,1,Abusive,Bullying
 শালা মালাউন মরন কে সরন করে তওবা পরে নে ,0,1,Abusive,Bullying
 এই সালা মালাউন খানকির পোলারে সবাই মারো ,0,1,Abusive,Bullying
খুব তাড়াতাড়ি মুসলিম ধংশো হবেই,0,1,Abusive,Bullying
 দে শেষ করে দে মালাউন দের ,0,1,Abusive,Bullying
মুসলমান মানেই জিহাদী জঙ্গিবাদ,0,1,Abusive,Bullying
সব জঙ্গি খানকিরপোলাদের আবাল চোদা যুক্তি,0,1,Abusive,Bullying
তেতুল হুজুর বৌয়ের যোনি চুসে বুঝলো যে টক ,0,1,Abusive,Bullying
তোদের মত নাস্তিকের বাচ্চার জন্য মুসলমানদের আজকের বদনাম ,0,1,Abusive,Bullying
বাঙালি হিন্দুরাই ভীতু চোদা তাই নুনু কাঁটা পিসলামিক শুয়োরগুলো ওদের অত্যাচার করে ,0,1,Abusive,Bullying
 রাজের বাচ্ছা ফেরাউন হিনুর পুত মালাউন নারকের আগুন ,0,1,Abusive,Bullying
এই মাগির তোর ভোদায় এসিড দিমু আমি আমি ছাএলীগ নেতা ,0,1,Abusive,Bullying
নডির পোলা নাস্তিক তোর মারে বাপ ,0,1,Abusive,Bullying
হিন্দুকে কুতার মুতুন চুদছি ,0,1,Abusive,Bullying
shala pagol hindura bangladeshe jevabe shantite thake varote o thakena,0,1,Abusive,Bullying
se gondho newaer jnno malawonra dowre,0,1,Abusive,Bullying
tarif hossen rendiate ki tor mare vara dech mluchlimder proti dord nai hala munafek madarchudi,0,1,Abusive,Bullying
indian malauner sathe bia korche gorur mut kahy,0,1,Abusive,Bullying
curer mar bro gola shala malauner baccha protiti khelay tora churi kroch abar paknami chudach toder lojja krena ,0,1,Abusive,Bullying
tui morle kutta dia kbr deyaich,0,1,Abusive,Bullying
malunra bangladesehr ato ghono ghono ase keno,0,1,Abusive,Bullying
malaunder upor bodla nite hbe ,0,1,Abusive,Bullying
malaunder boshte dile shute chay,0,1,Abusive,Bullying
varote ekta muslim k o thakte dewa hbena,0,1,Abusive,Bullying
malauner baccha mane ki khub kharap,0,1,Abusive,Bullying
khub valo varot dhongso hoye jak ar sathe,0,1,Abusive,Bullying
ekhon maya kanna krichna shala malaun,0,1,Abusive,Bullying
ore shala malaun napaker ghushti gali dicche ore dre mut khawate hbe,0,1,Abusive,Bullying
bangladesher muslim lokera manush na sob kukur,0,1,Abusive,Bullying
tui shala kafer tate kno sondeho nai,0,1,Abusive,Bullying
chuiidda maira falamu khankir pola,0,1,Abusive,Bullying
vhondo kadiyan theke sabdhan,0,1,Abusive,Bullying
maira malaungerer borbor jatiderke gadharbaccha der tehkhe o odhomderke,0,1,Abusive,Bullying
chutmarani tor chudi kutta dia chudamu,0,1,Abusive,Bullying
pakistaner mto amader desehe thakto taile hindu der dhorshoon krtam,0,1,Abusive,Bullying
jodi prithibi dhongso hoy tar karon hobe muslimra,0,1,Abusive,Bullying
je shala malun bolche tar bonere chudi. tomader mukhe dari mathay tupi rekhe vondami kro. tomra jongi,0,1,Abusive,Bullying
malaunra to sani lion ar bbaccha,0,1,Abusive,Bullying
mollader buddhmotta gorur cheye ektu beshi,0,1,Abusive,Bullying
"shib ekta dhorshok chilo, shib lingo dhorhsoner protik",0,1,Abusive,Bullying
dhakar mal chudcho semja,0,1,Abusive,Bullying
prithibir shob theke mitthabadi dhormo hindu,0,1,Abusive,Bullying
"ekhono malaun asesni, dekhle e matha noshto hoye jabe",0,1,Abusive,Bullying
hinduder malaun bolar shate sathe desher theke sorkar sobai protbadmukhur haramjada dhandabaj,0,1,Abusive,Bullying
abal marka hujur,0,1,Abusive,Bullying
besshaloy ar mati chara durga murti gora hobe e na,0,1,Abusive,Bullying
oboidho musolmander lath mere tarano hok,0,1,Abusive,Bullying
muslimder matha ar gorur mathar moddhe kono parthokko nai,0,1,Abusive,Bullying
thakurda upore bose ace muslimder dorod ki kore bujhbe malaun,0,1,Abusive,Bullying
"asamer rohinga muslimder taria deya hoy, karon ara varoter manuh noy",0,1,Abusive,Bullying
bissher itihase hindura vito tader kothate muslimra voy payna,0,1,Abusive,Bullying
kulangar mohila,0,1,Abusive,Bullying
ihudira asole bipodjnok ader k mere fela uchit,0,1,Abusive,Bullying
shala murti puja shiber dhoner puja,0,1,Abusive,Bullying
sabbash pakistaner malaunder dhongso kre dite hbe,0,1,Abusive,Bullying
pakistaner bal o chirte parbena malaunera,0,1,Abusive,Bullying
kuttarbaccha nastiker ghorer nastik,0,1,Abusive,Bullying
hindu dhormo ekta chodachudi dhormo,0,1,Abusive,Bullying
tui to ek naforman shoitaner vai,0,1,Abusive,Bullying
malaun madarchod pakistan jindabad,0,1,Abusive,Bullying
ai malauner bacchay emne e morbo,0,1,Abusive,Bullying
musulman namer nastikra ekhon dekhish na tor hindu bapera muslimder prokasshe dhorshon korlo,0,1,Abusive,Bullying
allah ai hujurder hedayet den chagol hujur,0,1,Abusive,Bullying
nastiker gusti tomra jahannamer rasta dia probesh korba,0,1,Abusive,Bullying
musolmanra gujobe bisshash kore bastobe noy matha mota opodartho,0,1,Abusive,Bullying
jodda khor saifulla baler alem,0,1,Abusive,Bullying
juta mar ai malauner bacchake,0,1,Abusive,Bullying
nastik ora holo duniar moyla aborjona ar nordomar kit ek number mitthabadi,0,1,Abusive,Bullying
tora to sob koyta hijra toder hurer kotha shunleo to voy kore,0,1,Abusive,Bullying
hindur bacchara asole ekta khobish,0,1,Abusive,Bullying
muslimra malaun na malaun tora ,0,1,Abusive,Bullying
golper ram krishnar sathe ki bastober noropichash muhammoder tulona hoy,0,1,Abusive,Bullying
tor hindu bandhobider niya brindabon gia lila korga,0,1,Abusive,Bullying
shala malauner moron k shoron kore towba por,0,1,Abusive,Bullying
ai shala malaun khankir polare sobai mar ,0,1,Abusive,Bullying
khub taratar e muslim dhongso hbe,0,1,Abusive,Bullying
de sesh kore malanunder,0,1,Abusive,Bullying
muslim mane e jihad jongi,0,1,Abusive,Bullying
sob jongi muslim khankipolader abalchoda jukti,0,1,Abusive,Bullying
tetul hujur bow ar joni chuse bujhlo j tok,0,1,Abusive,Bullying
toder mto nastiker bacchar jonno aj muslimder bodnam,0,1,Abusive,Bullying
banglai hindura e vitu tai nunu kata pislamik shuor gulo oder ottachar kore,0,1,Abusive,Bullying
rajer baccha firawon hinur put malaun noroker baccha,0,1,Abusive,Bullying
ai magi tor voday asid dimu ami chatrolig neta,0,1,Abusive,Bullying
nodir pola nastik tor marebap,0,1,Abusive,Bullying
hinduke kuttar mton chudchi,0,1,Abusive,Bullying
camera korte sekh bokachoda tarpor chulkate jabi,0,0,Abusive,Bullying
last ar barite chudte dhukli kno be lewra,0,1,Abusive,Bullying
dudh duita dhakar ki dorkar akbar a khule camera te dekhailei hoy...allah ader hedait dan korun amin !! ai shob dress por a camera asa ta thik na...aktu to shalinota thaka dorkar taw nai!! ata vabe khub kharab laglo!,0,1,Abusive,Bullying
mon chay kamraya kamraya pora sorir khaya feli,0,1,Abusive,Bullying
enam bhai er nicche ache dua bicche😂😂😂😂,0,0,Abusive,Bullying
please arrest him..  loachhhhaaaa no 1,0,1,Abusive,Bullying
very very sexy,0,1,Abusive,Bullying
wtf মাগি মারা মাইয়া,0,1,Abusive,Bullying
সেক্সি বেবি,0,1,Abusive,Bullying
"so hot, মন্ডায় চায় চুদি",0,1,Abusive,Bullying
hoinnir hut hudani korichna mar haowat bal nai,0,1,Abusive,Bullying
chodani ekkere dhori chara bangi dimu,0,1,Abusive,Bullying
you r looking hot কিন্তু তুই যে কোন দেশের মাগি বুঝতে পারতেছিনা,0,1,Abusive,Bullying
পাগলা চোদা মহিলা … ,0,1,Abusive,Bullying
খাানকি মাগি একটা শালির ফাঁসি চাই,0,1,Abusive,Bullying
শর্ট কাপড়ের জন্য আর শরীর দেখানোর জন্যই american der nojore asche.,0,1,Abusive,Bullying
পরিমনি একটা নষ্ট মাল শালি হোগা মারা,0,1,Abusive,Bullying
দুধ দুইটা ডাকার কি দরকার একবারে খুলে ক্যামেরাতে দেখাইলেই হয়... আল্লাহ এদের হেদায়েত দান করুক আমিন !! এই সব ড্রেস পড়ে ক্যামেরার সামনে আসা টা ঠিক না.. একটু তো শালীনতা থাকা দরকার তা ও নাই!! এটা ভেবে খুব খারাপ লাগলো!,0,1,Abusive,Bullying
মন চায় কামড়ায় কামড়ায় পুরা শরীর খেয়ে ফেলি,0,1,Abusive,Bullying
ভেরি ভেরি সেক্সি,0,1,Abusive,Bullying
হোয়াট দা ফাঁক !!,0,1,Abusive,Bullying
সো হট,0,1,Abusive,Bullying
হইন্নির হুত হুডানি করিছনা মার হাউয়াত বাল নাই,0,1,Abusive,Bullying
চোদানি এক্কেরে ধরি ছাড়া ভাঙ্গি দিমু,0,1,Abusive,Bullying
বাংলার সেরা মাগী,0,1,Abusive,Bullying
ওসব্ব মেয়ে,0,1,Abusive,Bullying
এই বৌদি কটাকে আমার কাছে পাঠাও না আমি কোলকাতা আসছি । ভিগো স্পেরে নিয়ে এত চুলকানি দাদা পারে না,0,1,Abusive,Bullying
তোদের মতো কুত্তারবাচ্চারা সোনিকার মতো মেয়েরা পাইলে শিওর গ্যাংব্যাং দিবি,0,1,Abusive,Bullying
এদের কে চোদ্দ বছরে ফাসি দেয়া হোক,0,1,Abusive,Bullying
ওই কুকুরের বাচ্চা মেয়ে দেখলে দন খারা হয়ে যাই নাকি সালার ,0,1,Abusive,Bullying
পুরা বেশ্যা মাগী ,0,1,Abusive,Bullying
মাগি যা দুধ রে   সব খুল ,0,1,Abusive,Bullying
প্লিজ কেউ কন্ড়ম চারা ওরে চুদবেন্না,0,1,Abusive,Bullying
এই খানকি তুই একটা বাসটেট ,0,1,Abusive,Bullying
আপনাদের মত মেয়ে দের জুতা মারা দরকার ,0,1,Abusive,Bullying
তুই একটা মাগির পোলা ,0,1,Abusive,Bullying
টোর ভোদাতে সিল মারবো ,0,1,Abusive,Bullying
মালু গো চুদা মুদির জারজ সন্তান তোর দিদিরে কিন্তু চুইদ্দা মাইরা পালামু খানকির পোলা,0,1,Abusive,Bullying
apu vuda chuite ki hoy ,0,1,Abusive,Bullying
তর ভোদার ভিতরে ভালো ভাবে বরে দিমু,0,1,Abusive,Bullying
এগুলা রাস্তার মেয়ে ,0,1,Abusive,Bullying
এ খানকি তোর গুদে কতো খিদে আমি তেকে চুবৌ,0,1,Abusive,Bullying
মডেল না মনে হচ্ছে মাগী পাড়ার মাগী দুইটা পঞ্চাশ একশো টাকা দিলে চোদা যাবে  ,0,1,Abusive,Bullying
খানকি কে গুদে  ঢুকাতে হবে ,0,1,Abusive,Bullying
আমার তো মনে হয় তোর ভোদায় পানি গড়গড় করতেছে ছেলেদের সোনা ঢুকানোর জন্য ,0,1,Abusive,Bullying
মাগির বুদা অনেক বড় ,0,1,Abusive,Bullying
বেইশ্যার জন্মের ফসল মাগি  ,0,1,Abusive,Bullying
মাগীর পুকটি দিয়া বিকাশ দিতে হবে ,0,1,Abusive,Bullying
আমি মাগি চুদব,0,1,Abusive,Bullying
বরের চুদা পাই না তাই এত নাচা নাচি  ,0,1,Abusive,Bullying
তোমাকে কুকুর দিয়া চোদাতে হবে মাগি ,0,1,Abusive,Bullying
নোয়াখালীর মাগী তরা,0,1,Abusive,Bullying
এই খানকি মাগি বেগুন আছে লাগবে ,0,1,Abusive,Bullying
পাচাও দুধ এক নামবার  তুমার জামা কুলে ফেল আরও সুন্দ হবে ,0,1,Abusive,Bullying
এই কাংকির মেয়ে তর মার বুদার বিতরে লাল মরিস দিমু ,0,1,Abusive,Bullying
আচ্ছা এই হুরেরা কি বেশ্যাবৃত্তি করে  ,0,1,Abusive,Bullying
toder mto kuttarbacchara sonikar mto meyere paile sure ganbang dibi,0,1,Abusive,Bullying
ederke choddo bochor fasi deya hok,0,1,Abusive,Bullying
oi kukurerebaccha meye dekhle dana khara hoye jay anki,0,1,Abusive,Bullying
pura bessha magi,0,1,Abusive,Bullying
magir ja dudh re sob khul,0,1,Abusive,Bullying
please kew condom chara ore chudbenna,0,1,Abusive,Bullying
ei khank tui ekta bustard,0,1,Abusive,Bullying
apnar mto meyeder sonay juta mara uchit,0,1,Abusive,Bullying
tui ekta magir pola,0,1,Abusive,Bullying
tor vodate sil marbo,0,1,Abusive,Bullying
malu go chudi modir jaroj sontan,0,1,Abusive,Bullying
apu voda chuidtte ki hoy,0,1,Abusive,Bullying
tor vodar vitor valo vabe voredimu,0,1,Abusive,Bullying
egulo rastarmeye ,0,1,Abusive,Bullying
ai khanki tor gude koto khide ami toke chudbo,0,1,Abusive,Bullying
"model mone hocchena, magi parar magi, duita ponchash taka dile e choda jabe",0,1,Abusive,Bullying
khanki k gude train dhukate hbe,0,1,Abusive,Bullying
ar to monehoy tor voday pani gogor koitteche chleder sona duhaner lai,0,1,Abusive,Bullying
magider voda onek bro,0,1,Abusive,Bullying
baisshar jonmer fosol magi,0,1,Abusive,Bullying
magir putki dia bikash dite hbe,0,1,Abusive,Bullying
ami magi chudbo,0,1,Abusive,Bullying
borer choda payna to tai ato nachanachi,0,1,Abusive,Bullying
tomake kukur dia chodate hbe magi,0,1,Abusive,Bullying
noakhalir magira torar puroshra sob arob deshe take,0,1,Abusive,Bullying
ai khanki magi begun ache lagbe,0,1,Abusive,Bullying
pcha dudh o ek number tomar jama khule felo ar o shundor lagbe,0,1,Abusive,Bullying
ai kankir meye tor mar vodar bitor lal morich dimu,0,1,Abusive,Bullying
malaun morle felanir atta shasti pabe,0,1,Abusive,Bullying
short kapurer jonno ar shorir dekhanur jonnoi american der nojore asche.,2,1,Abusive,Bullying
wtf,0,1,Abusive,Bullying
sexy baby,0,1,Abusive,Bullying
so hot,0,1,Abusive,Bullying
"হইইন্নির হুত হুডানি করছ কিলাই , বাল ভাঙ্গি দিয়াম",0,1,Abusive,Bullying
বাচ্চার বাবা কে।,0,1,Abusive,Bullying
তোদের মতো কুত্তার বাচ্চারা সোনিকার মতো মেয়েরা পাইলে শিওর গ্যাংব্যাং দিবি,0,1,Abusive,Bullying
আপু ভুূদা চুইতে কী হয় ,0,1,Abusive,Bullying
খানকি কে গুদে টেন ঢুকাতে হবে ,0,1,Abusive,Bullying
মাগির বুদা ,0,1,Abusive,Bullying
নোয়াখালীর মাগী তরার পরোষরা সব আরব দেশ গুলোতে তাকে ,0,1,Abusive,Bullying
এই তোমাদের রেট কত  তোমরা কি দুজনে একসাথে আসবা ,0,1,Abusive,Bullying
toder mto kuttar bacchara sonikar mto meyere paile sure ganbang dibi,0,1,Abusive,Bullying
oi kukurere baccha meye dekhle dana khara hoye jay anki,0,1,Abusive,Bullying
tor vodar vitor valo vabe vore dimu,0,1,Abusive,Bullying
egulo rastar meye ,0,1,Abusive,Bullying
amar to monehoy tor voday pani gogor korteche chleder sona dhukanor jnno,0,1,Abusive,Bullying
accha ai hurere ki bessha britti kore,0,1,Abusive,Bullying
wow....fucking sexy baby.,3,1,Abusive,Bullying
milk soto hoya gasa,14,1,Abusive,Bullying
wow xxxx,0,1,Abusive,Bullying
পরিমনি কে গন রেপ করলেও বাংলার পোলাপাইন ওর সাথে পেরে উঠবেনা,120,1,Abusive,Bullying
"মালের সাইজ দেখছেন ,😆😆",46,1,Abusive,Bullying
"এখন দেখি নিচ তলারও সাইজ বেশ বড় হয়ছে,,🙄🙄🙄🙄",13,1,Abusive,Bullying
কি আমার তুলতুলে শরীর রে দেখলেই বমি আহে,1,1,Abusive,Bullying
khanki magi ektu jamada khuila dekha,0,1,Abusive,Bullying
"maler size dekhchen,😆😆",46,1,Abusive,Bullying
porimonike gono rape korleo polapain shere uthte parbona,120,1,Abusive,Bullying
"নিপুনের সেই ফিগার, মালটা সেই সাইজের ❤️ ",9,1,Abusive,Bullying
voda ta ki thoter mto sundor,1,1,Abusive,Bullying
